?   	github.com/eldius/initial-config-go/configs	[no test files]
?   	github.com/eldius/initial-config-go/logs	[no test files]
goos: linux
goarch: amd64
pkg: github.com/eldius/initial-config-go/setup
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  927130	      1254 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  926914	      1239 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  887584	      1241 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  940539	      1265 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  885544	      1252 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  882394	      1287 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  930676	      1287 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  920197	      1332 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  824722	      1291 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  908253	      1286 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  820677	      1304 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  865640	      1276 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  805263	      1272 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  938546	      1271 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  899932	      1268 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  897868	      1265 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  827692	      1308 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  903588	      1325 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  874640	      1269 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  875442	      1287 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  914498	      1281 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  898304	      1268 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  914053	      1282 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  891270	      1293 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_3_keys_to_redact-20          	  863455	      1281 ns/op	     912 B/op	      15 allocs/op
PASS
ok  	github.com/eldius/initial-config-go/setup	94.936s
